date,open_GS,high_GS,low_GS,close_GS,close_JP,close_MS,close_VX,close_DJ,close_FS,close_HS,close_NK,pct_change,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum
2000-02-08,85.75,89.63,85.75,89.44,85.06,67.81,21.25,10957.6,6285.8,16228.73,19868.88,4.3,88.47,86.62,87.12,87.47,0.35,2.68,91.98,81.26,88.19,88.44
2000-02-09,89.44,89.44,86.56,86.75,82.88,67.19,22.9,10699.16,6315.4,16819.46,20007.77,-3.0,87.77,86.73,87.09,87.36,0.27,2.64,92.01,81.45,87.23,85.75
2000-02-10,86.75,87.31,85.5,86.63,83.13,66.81,23.07,10643.63,6279.8,16845.17,19710.02,-0.1,87.11,86.81,87.05,87.24,0.19,2.58,91.97,81.65,86.83,85.63
2000-02-11,86.44,88.75,85.0,85.13,82.62,66.75,24.42,10425.21,6193.3,17380.3,19671.63,-1.7,86.25,86.85,86.88,86.91,0.03,2.55,91.95,81.75,85.7,84.13
2000-02-14,85.13,86.88,84.63,86.5,79.06,66.0,24.38,10519.84,6068.6,17188.96,19556.46,1.6,86.41,86.95,86.85,86.85,0.0,2.53,92.01,81.89,86.23,85.5
2000-02-15,86.25,86.63,85.13,86.5,81.06,65.56,22.92,10718.09,6005.2,16688.16,19367.83,0.0,86.67,86.99,86.82,86.79,-0.03,2.54,92.07,81.91,86.41,85.5
2000-02-16,86.75,87.31,82.88,82.94,79.5,65.56,23.51,10561.41,6147.4,17043.39,19599.18,-4.1,86.27,86.8,86.49,86.19,-0.3,2.69,92.18,81.42,84.1,81.94
2000-02-17,84.75,84.75,81.13,82.13,78.38,63.25,23.17,10514.57,6209.3,16981.23,19791.4,-1.0,85.23,86.54,86.12,85.56,-0.56,2.88,92.3,80.78,82.79,81.13
2000-02-18,84.5,84.5,80.75,80.81,74.75,61.25,26.0,10219.52,6165.0,16599.16,19789.03,-1.6,84.38,86.3,85.68,84.83,-0.85,3.15,92.6,80.0,81.47,79.81
2000-02-22,81.25,82.38,80.69,81.56,77.25,62.31,25.86,10304.84,6014.7,16255.17,19390.58,0.9,83.65,86.1,85.34,84.32,-1.02,3.16,92.42,79.78,81.53,80.56
2000-02-23,81.31,87.0,81.06,85.75,77.37,65.75,23.89,10225.73,6144.1,16376.79,19519.55,5.1,83.74,86.29,85.38,84.54,-0.84,3.12,92.53,80.05,84.34,84.75
2000-02-24,85.81,89.94,85.5,89.63,76.0,69.06,24.38,10092.63,6086.7,17058.66,19571.44,4.5,84.19,86.56,85.72,85.33,-0.39,3.17,92.9,80.22,87.87,88.63
2000-02-25,89.44,94.0,88.25,89.25,75.87,69.88,25.2,9862.12,6198.0,17200.98,19817.88,-0.4,84.58,86.61,86.0,85.93,-0.07,3.18,92.97,80.25,88.79,88.25
2000-02-28,89.25,89.25,87.0,88.0,77.94,69.19,24.68,10038.65,6099.6,16984.44,19720.1,-1.4,85.3,86.56,86.16,86.25,0.09,3.2,92.96,80.16,88.26,87.0
2000-02-29,88.75,92.5,88.0,92.5,79.62,70.44,23.37,10128.31,6232.6,17169.44,19959.52,5.1,86.79,86.83,86.67,87.22,0.55,3.28,93.39,80.27,91.09,91.5
2000-03-01,93.25,96.75,93.19,94.75,82.0,75.25,21.64,10137.93,6364.9,16843.59,20081.67,2.4,88.78,86.97,87.31,88.38,1.07,3.62,94.21,79.73,93.53,93.75
2000-03-02,95.25,97.88,94.13,96.25,80.56,76.56,21.06,10164.92,6432.1,16936.81,20065.11,1.6,90.88,87.21,88.01,89.59,1.58,4.09,95.39,79.03,95.34,95.25
2000-03-03,97.0,102.5,96.75,102.5,81.12,79.19,19.21,10367.2,6487.5,17285.24,19927.54,6.5,93.27,87.75,89.14,91.58,2.44,5.33,98.41,77.09,100.11,101.5
2000-03-06,102.8,105.3,102.4,103.7,83.44,80.88,21.5,10170.5,6567.8,17758.76,19796.35,1.2,95.28,88.63,90.28,93.45,3.17,6.34,101.31,75.95,102.5,102.7
2000-03-07,103.9,105.8,102.4,104.9,81.81,81.0,24.31,9796.03,6466.5,17865.36,19944.24,1.2,97.51,89.59,91.41,95.21,3.8,7.23,104.05,75.13,104.1,103.9
2000-03-08,105.0,105.4,99.69,101.8,79.0,79.0,23.82,9856.53,6411.2,17951.43,19766.8,-3.0,99.49,90.35,92.22,96.23,4.01,7.71,105.77,74.93,102.57,100.8
2000-03-09,101.8,108.2,101.3,107.2,81.12,83.38,22.21,10010.73,6532.1,17637.03,19662.33,5.3,101.59,91.2,93.37,97.92,4.55,8.52,108.24,74.16,105.66,106.2
2000-03-10,109.8,119.0,108.5,112.3,78.69,86.62,21.24,9928.82,6568.7,17831.86,19750.4,4.8,104.09,92.42,94.83,100.13,5.3,9.62,111.66,73.18,110.09,111.3
