date,open_JP,high_JP,low_JP,close_JP,close_GS,close_MS,close_VX,close_DJ,close_FS,close_HS,close_NK,pct_change,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum
2017-01-03,87.34,87.76,85.98,87.23,241.57,43.05,12.85,19881.76,7177.9,22150.4,19498.2,1.1,86.71,85.43,83.91,86.09,2.18,1.19,87.81,83.05,86.9,86.23
2017-01-04,86.96,87.18,86.4,86.91,243.13,43.62,11.85,19942.16,7189.7,22134.47,19594.16,-0.4,86.71,85.69,84.13,86.22,2.09,1.08,87.85,83.53,86.91,85.91
2017-01-05,86.81,87.11,85.2589,86.11,241.32,43.22,11.67,19899.29,7195.3,22456.69,19520.69,-0.9,86.58,85.82,84.28,86.2,1.92,0.96,87.74,83.9,86.38,85.11
2017-01-06,86.39,86.62,85.94,86.12,244.9,43.85,11.32,19963.8,7210.1,22503.01,19454.33,0.0,86.44,85.94,84.41,86.19,1.78,0.86,87.66,84.22,86.21,85.12
2017-01-09,85.73,86.77,85.52,86.18,242.89,42.71,11.56,19887.38,7237.8,22558.69,19339.66,0.1,86.39,86.04,84.54,86.19,1.65,0.83,87.7,84.38,86.19,85.18
2017-01-10,86.07,86.9,85.72,86.43,242.57,43.06,11.49,19855.53,7275.5,22744.85,19301.44,0.3,86.47,86.1,84.68,86.23,1.55,0.82,87.74,84.46,86.35,85.43
2017-01-11,86.43,87.08,85.91,87.08,245.76,43.67,11.26,19954.28,7290.5,22935.35,19364.67,0.8,86.58,86.18,84.86,86.36,1.5,0.78,87.74,84.62,86.84,86.08
2017-01-12,86.76,87.27,86.02,86.24,243.84,43.63,11.54,19891.0,7292.4,22829.02,19134.7,-1.0,86.44,86.25,84.96,86.34,1.38,0.69,87.63,84.87,86.44,85.24
2017-01-13,87.11,88.17,86.1,86.7,244.3,43.81,11.23,19885.73,7337.8,22937.38,19287.28,0.5,86.41,86.34,85.09,86.39,1.3,0.59,87.52,85.16,86.61,85.7
2017-01-17,84.93,85.22,83.28,83.55,235.74,42.15,11.87,19826.77,7220.4,22840.97,18813.53,-3.6,86.04,86.28,84.98,85.96,0.98,0.87,88.02,84.54,84.57,82.55
2017-01-18,83.63,84.23,83.03,83.94,234.29,42.86,12.48,19804.72,7247.6,23098.26,18894.37,0.5,85.73,86.19,84.9,85.65,0.75,0.97,88.13,84.25,84.15,82.94
2017-01-19,84.06,84.67,83.12,83.3,231.41,42.45,12.78,19732.4,7208.4,23049.96,19072.25,-0.8,85.32,86.11,84.78,85.29,0.51,1.17,88.45,83.77,83.58,82.3
2017-01-20,83.43,83.83,83.285,83.67,232.2,42.59,11.54,19827.25,7198.4,22885.91,19137.91,0.4,84.93,86.02,84.7,85.04,0.34,1.28,88.58,83.46,83.64,82.67
2017-01-23,83.3,84.0,83.205,83.71,232.67,41.96,11.77,19799.85,7151.2,22898.52,18891.03,0.0,84.44,85.89,84.63,84.83,0.2,1.37,88.63,83.15,83.69,82.71
2017-01-24,83.92,85.0,83.56,84.72,233.68,42.73,11.07,19912.71,7150.3,22949.86,18787.99,1.2,84.23,85.79,84.63,84.82,0.19,1.37,88.53,83.05,84.38,83.72
