date,open_JP,high_JP,low_JP,close_JP,close_GS,close_MS,close_VX,close_DJ,close_FS,close_HS,close_NK,pct_change,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum
2000-02-08,84.06,86.13,84.0,85.06,89.44,67.81,21.25,10957.6,6285.8,16228.73,19868.88,3.5,82.72,76.73,78.84,80.76,1.92,5.06,86.85,66.61,84.1,84.06
2000-02-09,84.94,86.37,82.44,82.88,86.75,67.19,22.9,10699.16,6315.4,16819.46,20007.77,-2.6,83.03,77.27,79.21,81.1,1.89,4.93,87.13,67.41,83.29,81.88
2000-02-10,83.13,83.75,81.38,83.13,86.63,66.81,23.07,10643.63,6279.8,16845.17,19710.02,0.3,82.94,77.91,79.56,81.42,1.86,4.75,87.41,68.41,83.18,82.13
2000-02-11,83.25,85.0,82.0,82.62,85.13,66.75,24.42,10425.21,6193.3,17380.3,19671.63,-0.6,82.97,78.5,79.83,81.61,1.78,4.54,87.58,69.42,82.81,81.62
2000-02-14,82.25,83.44,79.06,79.06,86.5,66.0,24.38,10519.84,6068.6,17188.96,19556.46,-4.3,82.38,78.86,79.76,81.21,1.45,4.39,87.64,70.08,80.31,78.06
2000-02-15,80.06,82.5,79.62,81.06,86.5,65.56,22.92,10718.09,6005.2,16688.16,19367.83,2.5,82.29,79.21,79.87,81.18,1.31,3.97,87.15,71.27,80.81,80.06
2000-02-16,81.0,82.19,79.0,79.5,82.94,65.56,23.51,10561.41,6147.4,17043.39,19599.18,-1.9,81.9,79.61,79.84,80.92,1.08,3.75,87.11,72.11,79.94,78.5
2000-02-17,80.62,81.5,77.81,78.38,82.13,63.25,23.17,10514.57,6209.3,16981.23,19791.4,-1.4,80.95,79.81,79.72,80.53,0.81,3.52,86.85,72.77,78.9,77.38
2000-02-18,78.06,78.56,74.56,74.75,80.81,61.25,26.0,10219.52,6165.0,16599.16,19789.03,-4.6,79.79,79.85,79.3,79.63,0.33,3.34,86.53,73.17,76.13,73.75
2000-02-22,76.0,78.87,75.12,77.25,81.56,62.31,25.86,10304.84,6014.7,16255.17,19390.58,3.3,78.95,80.05,79.14,79.26,0.12,2.98,86.01,74.09,76.88,76.25
2000-02-23,77.37,79.19,76.56,77.37,85.75,65.75,23.89,10225.73,6144.1,16376.79,19519.55,0.2,78.2,80.26,78.99,78.97,-0.02,2.75,85.76,74.76,77.21,76.37
2000-02-24,77.25,77.56,74.62,76.0,89.63,69.06,24.38,10092.63,6086.7,17058.66,19571.44,-1.8,77.76,80.33,78.75,78.51,-0.24,2.9,86.13,74.53,76.4,75.0
2000-02-25,76.62,78.75,74.88,75.87,89.25,69.88,25.2,9862.12,6198.0,17200.98,19817.88,-0.2,77.02,80.2,78.52,78.1,-0.42,3.07,86.34,74.06,76.05,74.87
2000-02-28,76.75,80.25,76.38,77.94,88.0,69.19,24.68,10038.65,6099.6,16984.44,19720.1,2.7,76.79,80.07,78.47,78.08,-0.39,3.01,86.09,74.05,77.31,76.94
2000-02-29,77.69,81.0,77.69,79.62,92.5,70.44,23.37,10128.31,6232.6,17169.44,19959.52,2.2,76.97,80.21,78.56,78.32,-0.24,3.01,86.23,74.19,78.85,78.62
2000-03-01,79.88,82.0,78.87,82.0,94.75,75.25,21.64,10137.93,6364.9,16843.59,20081.67,3.0,78.01,80.27,78.83,78.88,0.05,2.92,86.11,74.43,80.95,81.0
2000-03-02,80.5,81.12,79.75,80.56,96.25,76.56,21.06,10164.92,6432.1,16936.81,20065.11,-1.8,78.48,80.12,78.97,79.14,0.17,2.88,85.88,74.36,80.69,79.56
