date,open_MS,high_MS,low_MS,close_MS,close_GS,close_JP,close_VX,close_DJ,close_FS,close_HS,close_NK,pct_change,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum
2000-02-08,67.0,68.69,66.5,67.81,89.44,85.06,21.25,10957.6,6285.8,16228.73,19868.88,4.1,65.71,103.84,90.81,79.0,-11.81,34.26,172.36,35.32,66.98,66.81
2000-02-09,68.81,68.94,66.5,67.19,86.75,82.88,22.9,10699.16,6315.4,16819.46,20007.77,-0.9,65.85,100.81,88.67,77.13,-11.54,34.46,169.73,31.89,67.12,66.19
2000-02-10,67.25,68.0,65.81,66.81,86.63,83.13,23.07,10643.63,6279.8,16845.17,19710.02,-0.6,66.25,97.78,86.72,75.51,-11.21,34.31,166.4,29.16,66.91,65.81
2000-02-11,66.88,69.06,66.38,66.75,85.13,82.62,24.42,10425.21,6193.3,17380.3,19671.63,-0.1,66.48,94.69,84.96,74.14,-10.82,33.79,162.27,27.11,66.8,65.75
2000-02-14,67.5,67.75,65.75,66.0,86.5,79.06,24.38,10519.84,6068.6,17188.96,19556.46,-1.1,66.48,91.52,83.32,72.87,-10.45,32.58,156.68,26.36,66.27,65.0
2000-02-15,64.81,65.69,64.5,65.56,86.5,81.06,22.92,10718.09,6005.2,16688.16,19367.83,-0.7,66.46,88.11,81.79,71.73,-10.06,31.22,150.55,25.67,65.8,64.56
2000-02-16,65.56,66.44,64.25,65.56,82.94,79.5,23.51,10561.41,6147.4,17043.39,19599.18,0.0,66.53,84.86,80.42,70.77,-9.65,29.2,143.26,26.46,65.64,64.56
2000-02-17,65.19,65.5,62.88,63.25,82.13,78.38,23.17,10514.57,6209.3,16981.23,19791.4,-3.5,65.87,81.41,78.98,69.6,-9.38,26.7,134.81,28.01,64.05,62.25
2000-02-18,63.25,64.25,60.12,61.25,80.81,74.75,26.0,10219.52,6165.0,16599.16,19789.03,-3.2,65.03,77.91,77.51,68.31,-9.2,23.74,125.39,30.43,62.18,60.25
2000-02-22,62.25,62.69,60.5,62.31,81.56,77.25,25.86,10304.84,6014.7,16255.17,19390.58,1.7,64.38,74.56,76.26,67.38,-8.88,20.35,115.26,33.86,62.27,61.31
2000-02-23,62.06,67.25,61.62,65.75,85.75,77.37,23.89,10225.73,6144.1,16376.79,19519.55,5.5,64.24,71.6,75.4,67.13,-8.27,15.2,102.0,41.2,64.59,64.75
2000-02-24,67.5,70.25,66.12,69.06,89.63,76.0,24.38,10092.63,6086.7,17058.66,19571.44,5.0,64.68,68.73,74.89,67.42,-7.47,1.92,72.57,64.89,67.57,68.06
2000-02-25,69.12,71.19,67.75,69.88,89.25,75.87,25.2,9862.12,6198.0,17200.98,19817.88,1.2,65.29,65.73,74.49,67.8,-6.69,2.11,69.95,61.51,69.11,68.88
2000-02-28,68.5,69.75,68.0,69.19,88.0,77.94,24.68,10038.65,6099.6,16984.44,19720.1,-1.0,65.81,65.8,74.06,68.02,-6.04,2.18,70.16,61.44,69.16,68.19
2000-02-29,68.94,70.44,68.12,70.44,92.5,79.62,23.37,10128.31,6232.6,17169.44,19959.52,1.8,66.84,66.14,73.77,68.39,-5.38,2.4,70.94,61.34,70.01,69.44
2000-03-01,71.88,75.5,71.5,75.25,94.75,82.0,21.64,10137.93,6364.9,16843.59,20081.67,6.8,68.84,66.57,73.89,69.45,-4.44,3.09,72.75,60.39,73.5,74.25
2000-03-02,74.75,77.25,74.06,76.56,96.25,80.56,21.06,10164.92,6432.1,16936.81,20065.11,1.7,70.88,67.17,74.1,70.55,-3.55,3.77,74.71,59.63,75.54,75.56
2000-03-03,78.25,79.19,75.88,79.19,102.5,81.12,19.21,10367.2,6487.5,17285.24,19927.54,3.4,72.8,67.84,74.5,71.88,-2.62,4.6,77.04,58.64,77.97,78.19
