time,Real Lower Band,Real Middle Band,Real Upper Band
2019-04-04,-1308.9183,2597.8272,6504.5727
2019-04-03,-1305.7750,2591.8298,6489.4347
2019-04-02,-1302.5154,2585.7412,6473.9977
2019-04-01,-1299.7405,2580.0618,6459.8641
2019-03-29,-1296.9936,2574.1995,6445.3926
2019-03-28,-1294.6447,2569.0352,6432.7150
2019-03-27,-1294.6447,2569.0352,6432.7150
2019-03-26,-1461.9291,2513.6678,6489.2648
2019-03-25,-1459.3780,2507.2983,6473.9747
2019-03-22,-1290.4875,2557.3085,6405.1045
2019-03-21,-1456.9748,2502.2130,6461.4008
2019-03-20,-1453.7341,2496.9460,6447.6262
2019-03-19,-1285.6362,2547.6147,6380.8656
2019-03-18,-1282.0345,2541.8588,6365.7522
2019-03-15,-1104.5149,2593.4022,6291.3192
2019-03-14,-1101.7619,2588.8370,6279.4359
2019-03-13,-1099.5875,2584.9360,6269.4595
2019-03-12,-1097.4279,2580.4672,6258.3623
2019-03-11,-909.5770,2630.7503,6171.0777
2019-03-08,-907.9114,2626.6518,6161.2151
2019-03-07,-708.0542,2677.4175,6062.8892
2019-03-06,-706.8062,2674.7745,6056.3552
2019-03-05,-705.5574,2672.5175,6050.5924
2019-03-04,-902.9893,2617.0643,6137.1180
2019-03-01,-901.5260,2614.6645,6130.8550
2019-02-28,-900.1181,2612.3655,6124.8491
2019-02-27,-1084.5068,2557.3945,6199.2958
2019-02-26,-1083.2426,2555.4553,6194.1532
2019-02-25,-1081.9325,2553.5118,6188.9561
2019-02-22,-1254.6137,2498.8450,6252.3037
2019-02-21,-1252.9791,2496.4470,6245.8731
2019-02-20,-1251.6747,2494.6172,6240.9091
2019-02-19,-1250.0756,2492.2268,6234.5293
2019-02-18,-1249.1478,2490.9088,6230.9655
2019-02-15,-1249.1478,2490.9088,6230.9655
2019-02-14,-1248.5147,2490.0598,6228.6344
2019-02-13,-1411.3247,2437.0155,6285.3557
2019-02-12,-1249.0185,2490.7625,6230.5435
2019-02-11,-1411.7799,2437.5833,6286.9465
2019-02-08,-1565.4063,2384.8232,6335.0526
2019-02-07,-1566.8070,2386.5228,6339.8527
2019-02-06,-1414.1113,2440.6255,6295.3623
2019-02-05,-1414.1113,2440.6255,6295.3623
2019-02-04,-1414.1428,2440.6643,6295.4714
2019-02-01,-1414.7561,2441.4845,6297.7250
2019-01-31,-1415.1645,2442.0360,6299.2365
2019-01-30,-1415.6198,2442.6707,6300.9611
2019-01-29,-1415.4589,2442.4272,6300.3132
2019-01-28,-1415.4755,2442.4523,6300.3802
2019-01-25,-1415.4510,2442.4127,6300.2763
2019-01-24,-1415.4642,2442.4320,6300.3282
2019-01-23,-1415.5044,2442.4990,6300.5024
2019-01-22,-1415.7901,2442.9792,6301.7484
2019-01-21,-1252.6075,2496.1473,6244.9022
2019-01-18,-1253.4802,2497.5765,6248.6332
2019-01-17,-1254.2714,2498.8543,6251.9801
2019-01-16,-1255.9274,2501.7498,6259.4271
2019-01-15,-1257.6968,2504.7518,6267.2005
2019-01-14,-1083.7018,2558.2580,6200.2178
2019-01-11,-1084.6220,2560.5785,6205.7790
2019-01-10,-1085.6102,2562.8977,6211.4056
2019-01-09,-1087.1903,2566.0838,6219.3579
2019-01-08,-1089.4766,2570.2763,6230.0292
2019-01-07,-1091.5939,2574.5227,6240.6392
2019-01-04,-1094.2028,2579.7205,6253.6438
2019-01-03,-1097.1556,2585.2743,6267.7042
2018-12-28,-911.7911,2642.0323,6195.8557
2018-12-27,-712.8756,2698.5155,6109.9066
2018-12-21,-714.8367,2706.4622,6127.7610
2018-12-20,-716.7479,2713.1053,6142.9586
2018-12-19,-502.2265,2770.6018,6043.4301
2018-12-18,-504.0505,2776.9647,6057.9799
2018-12-17,-505.5212,2783.2923,6072.1059
2018-12-14,-506.8649,2789.0722,6085.0092
2018-12-13,-508.4516,2794.7090,6097.8696
2018-12-12,-509.6813,2799.5582,6108.7976
2018-12-11,-510.4904,2803.9013,6118.2931
2018-12-10,-510.9276,2808.9537,6128.8349
2018-12-07,-510.9376,2814.4390,6139.8156
2018-12-06,-511.1309,2819.2073,6149.5456
2018-12-05,-511.1038,2824.0030,6159.1098
2018-12-04,-511.4384,2826.9418,6165.3220
2018-12-03,-511.7212,2828.9820,6169.6852
2018-11-30,-272.9271,2884.1367,6041.2004
2018-11-29,-272.9111,2886.1405,6045.1921
2018-11-28,-272.8925,2888.1703,6049.2332
2018-11-27,-13.0897,2943.4307,5899.9511
2018-11-26,-12.9838,2946.6463,5906.2765
2018-11-23,-13.0547,2950.3510,5913.7567
2018-11-22,272.5464,3006.8993,5741.2522
2018-11-21,273.1248,3011.9713,5750.8179
2018-11-20,273.3572,3017.0083,5760.6595
2018-11-19,274.1370,3022.5333,5770.9297
2018-11-16,274.4991,3027.4613,5780.4235
2018-11-15,594.8862,3084.5853,5574.2844
2018-11-14,595.6928,3088.4012,5581.1095
2018-11-13,961.3416,3145.4042,5329.4667
2018-11-12,962.2589,3148.5182,5334.7775
2018-11-09,1395.9422,3205.0793,5014.2165
2018-11-08,1954.4354,3261.2950,4568.1546
2018-11-07,1956.0435,3263.6277,4571.2118
2018-11-06,1957.4327,3265.5097,4573.5867
2018-11-05,3029.7946,3322.3337,3614.8727
2018-11-02,3034.0282,3325.5388,3617.0494
2018-11-01,3038.3191,3329.0700,3619.8209
2018-10-31,3040.5174,3333.9022,3627.2870
2018-10-30,3044.0649,3338.8370,3633.6090
2018-10-29,3052.9538,3344.7910,3636.6282
2018-10-26,3063.2621,3350.2638,3637.2656
2018-10-25,3077.2561,3356.0557,3634.8553
2018-10-24,3089.2761,3361.1358,3632.9956
2018-10-23,3103.9445,3367.7218,3631.4992
2018-10-22,3119.6377,3373.9113,3628.1849
2018-10-19,3128.8781,3379.5295,3630.1809
2018-10-18,3137.8082,3384.5035,3631.1988
2018-10-17,3149.4818,3388.7845,3628.0872
2018-10-16,3157.6770,3392.7883,3627.8996
2018-10-15,3165.8678,3396.0668,3626.2659
2018-10-12,3180.5076,3400.2278,3619.9481
2018-10-11,3198.7036,3404.8483,3610.9930
2018-10-10,3215.7235,3409.4465,3603.1695
2018-10-09,3226.2466,3412.6232,3598.9997
2018-10-08,3231.2849,3414.7447,3598.2044
2018-10-05,3237.7480,3417.1583,3596.5686
2018-10-04,3241.3044,3418.8247,3596.3449
2018-10-03,3242.9131,3419.6125,3596.3119
2018-10-02,3242.9405,3420.7430,3598.5455
2018-10-01,3243.9279,3421.9338,3599.9398
2018-09-28,3244.2368,3422.5060,3600.7752
2018-09-27,3245.0303,3423.2013,3601.3724
2018-09-26,3244.6562,3422.5720,3600.4878
2018-09-25,3244.1505,3422.1252,3600.0998
2018-09-24,3242.3289,3421.3323,3600.3358
2018-09-21,3241.8555,3421.0850,3600.3145
2018-09-20,3239.5489,3419.9968,3600.4448
2018-09-19,3239.3503,3419.8970,3600.4437
2018-09-18,3239.3598,3419.8997,3600.4395
2018-09-17,3240.0412,3420.0788,3600.1164
2018-09-14,3243.7953,3421.6703,3599.5453
2018-09-13,3247.1808,3422.6517,3598.1226
2018-09-12,3252.3191,3424.4170,3596.5149
2018-09-11,3258.3874,3426.2287,3594.0699
2018-09-10,3266.3717,3428.8118,3591.2520
2018-09-07,3273.9002,3432.0742,3590.2481
2018-09-06,3283.1599,3435.9700,3588.7801
2018-09-05,3295.4655,3439.0302,3582.5949
2018-09-04,3305.8185,3441.6962,3577.5738
2018-09-03,3310.9252,3443.7105,3576.4958
2018-08-31,3313.1632,3444.5823,3576.0015
2018-08-30,3315.7209,3445.6968,3575.6728
2018-08-29,3316.2195,3446.1940,3576.1686
2018-08-28,3316.2226,3446.2050,3576.1874
2018-08-27,3316.2804,3446.5717,3576.8629
2018-08-24,3316.2626,3446.5305,3576.7984
2018-08-23,3315.2163,3446.1840,3577.1517
2018-08-22,3315.9879,3446.5495,3577.1112
2018-08-21,3316.3260,3446.6822,3577.0383
2018-08-20,3317.5192,3447.8652,3578.2112
2018-08-17,3318.7605,3449.8933,3581.0262
2018-08-16,3321.8865,3452.3737,3582.8609
2018-08-15,3323.5059,3455.1113,3586.7168
