time,Real Lower Band,Real Middle Band,Real Upper Band
2019-04-03,9.5612,15.8953,22.2294
2019-04-02,9.4031,16.0230,22.6429
2019-04-01,9.3081,16.1567,23.0052
2019-03-29,8.7185,16.3575,23.9965
2019-03-28,8.5072,16.5160,24.5248
2019-03-27,8.0344,16.6992,25.3640
2019-03-26,7.1922,16.9190,26.6458
2019-03-25,6.2748,17.1737,28.0725
2019-03-22,5.3891,17.4083,29.4276
2019-03-21,3.7487,17.7348,31.7210
2019-03-20,3.3337,18.0095,32.6853
2019-03-19,3.1356,18.2507,33.3657
2019-03-18,3.1912,18.4510,33.7108
2019-03-15,3.3032,18.6590,34.0148
2019-03-14,3.5036,18.8530,34.2024
2019-03-13,3.7472,18.9885,34.2298
2019-03-12,4.0124,19.1092,34.2060
2019-03-11,4.2601,19.2373,34.2146
2019-03-08,4.4775,19.3612,34.2448
2019-03-07,4.5921,19.4710,34.3499
2019-03-06,4.6771,19.5817,34.4863
2019-03-05,4.8318,19.6725,34.5132
2019-03-04,5.0525,19.7725,34.4925
2019-03-01,5.1613,19.8027,34.4440
2019-02-28,5.4228,19.8777,34.3325
2019-02-27,5.6204,19.9445,34.2686
2019-02-26,5.8183,20.0077,34.1970
2019-02-25,6.0029,20.0718,34.1408
2019-02-22,6.2106,20.1393,34.0681
2019-02-21,6.5782,20.2728,33.9675
2019-02-20,6.8723,20.3785,33.8847
2019-02-19,7.2215,20.5195,33.8175
2019-02-15,7.4907,20.6065,33.7223
2019-02-14,7.6972,20.6603,33.6234
2019-02-13,7.8731,20.7230,33.5729
2019-02-12,8.1190,20.8163,33.5137
2019-02-11,8.3664,20.8928,33.4193
2019-02-08,8.5878,20.9675,33.3472
2019-02-07,8.7037,20.9948,33.2859
2019-02-06,8.7286,21.0007,33.2727
2019-02-05,8.8066,21.0170,33.2274
2019-02-04,9.0569,21.0893,33.1218
2019-02-01,9.3016,21.1598,33.0181
2019-01-31,9.5020,21.2160,32.9300
2019-01-30,9.6652,21.2622,32.8591
2019-01-29,9.8103,21.3217,32.8330
2019-01-28,9.8871,21.3920,32.8969
2019-01-25,9.9581,21.4892,33.0202
2019-01-24,10.1369,21.6015,33.0661
2019-01-23,10.2320,21.6903,33.1486
2019-01-22,10.2797,21.7855,33.2913
2019-01-18,10.2770,21.7840,33.2910
2019-01-17,10.3817,21.8147,33.2476
2019-01-16,10.4810,21.8452,33.2093
2019-01-15,10.5291,21.8622,33.1953
2019-01-14,10.4480,21.8422,33.2363
2019-01-11,10.3575,21.8180,33.2785
2019-01-10,10.4951,21.8698,33.2445
2019-01-09,10.5607,21.9000,33.2393
2019-01-08,10.6085,21.9833,33.3582
2019-01-07,10.6595,22.0248,33.3902
2019-01-04,10.3334,21.9340,33.5346
2019-01-03,9.9945,21.8392,33.6838
2019-01-02,9.6018,21.6620,33.7222
2018-12-31,9.1351,21.5120,33.8889
2018-12-28,8.4316,21.2818,34.1321
2018-12-27,7.9805,21.0103,34.0402
2018-12-26,7.7059,20.7110,33.7161
2018-12-24,7.5509,20.4062,33.2614
2018-12-21,8.3223,20.0118,31.7014
2018-12-20,8.4016,19.7248,31.0481
2018-12-19,8.3077,19.4588,30.6099
2018-12-18,8.0027,19.2358,30.4689
2018-12-17,7.6805,19.0042,30.3278
2018-12-14,7.3448,18.7922,30.2395
2018-12-13,6.9215,18.6275,30.3335
2018-12-12,6.6065,18.4965,30.3865
2018-12-11,6.3925,18.3668,30.3411
2018-12-10,6.0657,18.2053,30.3449
2018-12-07,5.8168,18.0342,30.2515
2018-12-06,5.6778,17.8660,30.0542
2018-12-04,5.4868,17.7332,29.9796
2018-12-03,5.3587,17.6235,29.8883
2018-11-30,5.2956,17.5975,29.8994
2018-11-29,5.1882,17.5405,29.8928
2018-11-28,5.0390,17.4592,29.8794
2018-11-27,4.8482,17.3703,29.8925
2018-11-26,4.6442,17.2677,29.8911
2018-11-23,4.4905,17.1782,29.8658
2018-11-21,4.3124,17.0237,29.7349
2018-11-20,4.1443,16.8853,29.6264
2018-11-19,4.0357,16.7133,29.3910
2018-11-16,3.8430,16.5782,29.3133
2018-11-15,3.6631,16.4827,29.3023
2018-11-14,3.5068,16.3538,29.2008
2018-11-13,3.4428,16.2140,28.9852
2018-11-12,3.3264,16.0885,28.8506
2018-11-09,3.2442,15.9583,28.6724
2018-11-08,3.1551,15.8932,28.6313
2018-11-07,3.1156,15.8585,28.6014
2018-11-06,3.0290,15.8077,28.5863
2018-11-05,3.0390,15.7222,28.4053
2018-11-02,2.9978,15.6088,28.2199
2018-11-01,2.8458,15.4715,28.0972
2018-10-31,2.6735,15.3300,27.9865
2018-10-30,2.6042,15.1583,27.7124
2018-10-29,2.7323,14.9570,27.1817
2018-10-26,3.0591,14.7393,26.4196
2018-10-25,3.4163,14.5398,25.6633
2018-10-24,3.8835,14.3553,24.8272
2018-10-23,4.5630,14.1487,23.7344
2018-10-22,4.8040,14.0412,23.2784
2018-10-19,4.9495,13.9310,22.9125
2018-10-18,5.1029,13.8018,22.5008
2018-10-17,5.3064,13.6723,22.0383
2018-10-16,5.3380,13.5892,21.8403
2018-10-15,5.3989,13.5058,21.6128
2018-10-12,5.8488,13.3652,20.8815
2018-10-11,6.3772,13.2245,20.0718
2018-10-10,7.9175,13.0098,18.1022
2018-10-09,9.5237,12.8282,16.1326
2018-10-08,9.7048,12.7762,15.8475
2018-10-05,9.8572,12.7177,15.5781
2018-10-04,9.9400,12.6803,15.4207
2018-10-03,9.9708,12.6705,15.3702
2018-10-02,10.0199,12.6877,15.3555
2018-10-01,10.0422,12.6983,15.3545
2018-09-28,10.0669,12.7212,15.3754
2018-09-27,9.9885,12.7687,15.5488
2018-09-26,9.7682,12.8308,15.8935
2018-09-25,9.6339,12.8760,16.1181
2018-09-24,9.4737,12.9372,16.4007
2018-09-21,9.2521,13.0147,16.7772
2018-09-20,8.9487,13.1185,17.2883
2018-09-19,8.9138,13.1872,17.4605
2018-09-18,8.7582,13.2802,17.8021
2018-09-17,8.7748,13.2965,17.8182
2018-09-14,8.7637,13.3125,17.8613
2018-09-13,8.7968,13.3245,17.8522
2018-09-12,8.8285,13.3408,17.8532
2018-09-11,8.7979,13.3270,17.8561
2018-09-10,8.7479,13.3063,17.8648
2018-09-07,8.7039,13.2723,17.8408
2018-09-06,8.7134,13.2400,17.7666
2018-09-05,8.6959,13.2015,17.7071
2018-09-04,8.6669,13.1755,17.6841
2018-08-31,8.6344,13.1592,17.6840
2018-08-30,8.6063,13.1470,17.6877
2018-08-29,8.5408,13.1155,17.6902
2018-08-28,8.5472,13.1180,17.6888
2018-08-27,8.5552,13.1220,17.6888
2018-08-24,8.5906,13.1437,17.6967
2018-08-23,8.5874,13.2010,17.8146
2018-08-22,8.5925,13.2432,17.8938
2018-08-21,8.4684,13.3227,18.1769
2018-08-20,8.4776,13.3287,18.1797
2018-08-17,8.4793,13.3293,18.1794
2018-08-16,8.4770,13.3283,18.1797
2018-08-15,8.4732,13.3245,18.1758
2018-08-14,8.4737,13.2985,18.1233
2018-08-13,8.4753,13.3003,18.1253
2018-08-10,8.4872,13.2778,18.0685
2018-08-09,8.4914,13.2822,18.0729
2018-08-08,8.5855,13.3382,18.0908
2018-08-07,8.7174,13.3728,18.0283
2018-08-06,8.8354,13.4015,17.9676
2018-08-03,8.9439,13.4342,17.9245
2018-08-02,9.0285,13.4638,17.8991
2018-08-01,9.0735,13.5058,17.9382
2018-07-31,9.0769,13.5325,17.9881
2018-07-30,9.0928,13.5648,18.0368
2018-07-27,9.0383,13.5922,18.1460
2018-07-26,9.0026,13.6412,18.2798
2018-07-25,9.0426,13.6970,18.3514
2018-07-24,9.0586,13.7577,18.4567
2018-07-23,9.0964,13.8077,18.5189
2018-07-20,9.0890,13.8680,18.6470
2018-07-19,8.9519,13.9510,18.9501
2018-07-18,8.8183,14.0368,19.2553
2018-07-17,8.8710,14.1075,19.3440
2018-07-16,8.9070,14.1878,19.4686
2018-07-13,8.9431,14.2400,19.5369
2018-07-12,9.0369,14.2970,19.5571
2018-07-11,9.1123,14.3415,19.5707
2018-07-10,9.1002,14.3903,19.6805
2018-07-09,9.0998,14.4698,19.8398
2018-07-06,9.0256,14.5665,20.1074
2018-07-05,8.7483,14.6810,20.6137
2018-07-03,8.4374,14.7727,21.1080
2018-07-02,8.0020,14.8665,21.7310
2018-06-29,7.6480,14.9647,22.2814
2018-06-28,7.5493,15.0122,22.4750
2018-06-27,7.3856,15.0657,22.7458
2018-06-26,7.1685,15.1188,23.0691
2018-06-25,6.6563,15.2472,23.8380
2018-06-22,6.5458,15.2912,24.0365
2018-06-21,6.2481,15.4428,24.6375
2018-06-20,5.9946,15.5738,25.1531
2018-06-19,5.9698,15.7112,25.4526
2018-06-18,5.5925,15.9032,26.2138
2018-06-15,5.4868,16.0870,26.6872
2018-06-14,5.6864,16.1850,26.6836
2018-06-13,5.8816,16.2863,26.6910
2018-06-12,6.0143,16.3877,26.7610
2018-06-11,6.1900,16.4453,26.7006
2018-06-08,6.3862,16.5160,26.6458
2018-06-07,6.6099,16.6002,26.5905
2018-06-06,6.8332,16.6705,26.5078
2018-06-05,7.0931,16.7395,26.3859
2018-06-04,7.2439,16.7768,26.3098
2018-06-01,7.4377,16.8402,26.2426
2018-05-31,7.5967,16.9118,26.2270
2018-05-30,7.6474,16.9607,26.2739
2018-05-29,7.7202,17.0238,26.3275
2018-05-25,7.7110,17.0667,26.4223
2018-05-24,7.7617,17.2208,26.6799
2018-05-23,8.0113,17.3428,26.6743
2018-05-22,8.2878,17.4430,26.5982
2018-05-21,8.4566,17.4860,26.5154
2018-05-18,8.6694,17.5428,26.4163
2018-05-17,8.8947,17.6312,26.3677
2018-05-16,9.1139,17.7410,26.3681
2018-05-15,9.3329,17.8607,26.3884
2018-05-14,9.4864,17.9412,26.3959
2018-05-11,9.8085,18.0445,26.2805
2018-05-10,10.1810,18.1547,26.1283
2018-05-09,10.1917,18.3503,26.5090
2018-05-08,10.1600,18.5535,26.9470
2018-05-07,9.6123,18.7927,27.9730
2018-05-04,8.4639,19.1045,29.7451
2018-05-03,8.3140,19.3205,30.3270
2018-05-02,7.8960,19.5552,31.2144
2018-05-01,6.4869,19.9110,33.3351
2018-04-30,6.5891,19.9413,33.2936
2018-04-27,6.4046,19.9003,33.3961
2018-04-26,6.2614,19.8692,33.4769
2018-04-25,6.1681,19.8450,33.5219
2018-04-24,5.9282,19.7783,33.6284
2018-04-23,5.4293,19.6627,33.8961
2018-04-20,5.0686,19.5833,34.0980
2018-04-19,4.6816,19.4932,34.3047
2018-04-18,4.3120,19.4122,34.5124
2018-04-17,3.9632,19.3360,34.7088
2018-04-16,3.6639,19.2697,34.8754
2018-04-13,3.3909,19.1973,35.0038
2018-04-12,3.0665,19.1057,35.1449
2018-04-11,2.7008,18.9918,35.2829
2018-04-10,2.1922,18.8238,35.4554
2018-04-09,1.6791,18.6473,35.6156
2018-04-06,1.1915,18.4482,35.7048
2018-04-05,0.7485,18.2580,35.7675
2018-04-04,0.2757,18.1010,35.9263
2018-04-03,-0.2099,17.9203,36.0505
2018-04-02,-0.6676,17.7223,36.1123
2018-03-29,-1.0518,17.4812,36.0141
2018-03-28,-1.4292,17.3112,36.0515
2018-03-27,-1.6507,17.1140,35.8787
2018-03-26,-1.9221,16.9087,35.7394
2018-03-23,-2.1879,16.7327,35.6533
2018-03-22,-2.3212,16.4890,35.2992
2018-03-21,-2.5192,16.2650,35.0492
2018-03-20,-2.8175,16.1277,35.0728
2018-03-19,-3.0991,15.9863,35.0717
2018-03-16,-3.3466,15.8365,35.0196
2018-03-15,-3.6034,15.7320,35.0674
